geometry
"POLYGON ((998433.4348778214 7376684.861747535, 998433.4348778214 7476684.861747535, 898433.4348778214 7476684.861747535, 898433.4348778214 7376684.861747535, 998433.4348778214 7376684.861747535))"
"POLYGON ((998433.4348778214 7476684.861747535, 998433.4348778214 7576684.861747535, 898433.4348778214 7576684.861747535, 898433.4348778214 7476684.861747535, 998433.4348778214 7476684.861747535))"
"POLYGON ((998433.4348778214 7576684.861747535, 998433.4348778214 7676684.861747535, 898433.4348778214 7676684.861747535, 898433.4348778214 7576684.861747535, 998433.4348778214 7576684.861747535))"
"POLYGON ((998433.4348778214 7676684.861747535, 998433.4348778214 7776684.861747535, 898433.4348778214 7776684.861747535, 898433.4348778214 7676684.861747535, 998433.4348778214 7676684.861747535))"
"POLYGON ((998433.4348778214 7776684.861747535, 998433.4348778214 7876684.861747535, 898433.4348778214 7876684.861747535, 898433.4348778214 7776684.861747535, 998433.4348778214 7776684.861747535))"
"POLYGON ((1098433.434877821 7276684.861747535, 1098433.434877821 7376684.861747535, 998433.4348778214 7376684.861747535, 998433.4348778214 7276684.861747535, 1098433.434877821 7276684.861747535))"
"POLYGON ((1098433.434877821 7376684.861747535, 1098433.434877821 7476684.861747535, 998433.4348778214 7476684.861747535, 998433.4348778214 7376684.861747535, 1098433.434877821 7376684.861747535))"
"POLYGON ((1098433.434877821 7476684.861747535, 1098433.434877821 7576684.861747535, 998433.4348778214 7576684.861747535, 998433.4348778214 7476684.861747535, 1098433.434877821 7476684.861747535))"
"POLYGON ((1098433.434877821 7576684.861747535, 1098433.434877821 7676684.861747535, 998433.4348778214 7676684.861747535, 998433.4348778214 7576684.861747535, 1098433.434877821 7576684.861747535))"
"POLYGON ((1098433.434877821 7676684.861747535, 1098433.434877821 7776684.861747535, 998433.4348778214 7776684.861747535, 998433.4348778214 7676684.861747535, 1098433.434877821 7676684.861747535))"
"POLYGON ((1098433.434877821 7776684.861747535, 1098433.434877821 7876684.861747535, 998433.4348778214 7876684.861747535, 998433.4348778214 7776684.861747535, 1098433.434877821 7776684.861747535))"
"POLYGON ((1198433.434877821 7376684.861747535, 1198433.434877821 7476684.861747535, 1098433.434877821 7476684.861747535, 1098433.434877821 7376684.861747535, 1198433.434877821 7376684.861747535))"
"POLYGON ((1198433.434877821 7476684.861747535, 1198433.434877821 7576684.861747535, 1098433.434877821 7576684.861747535, 1098433.434877821 7476684.861747535, 1198433.434877821 7476684.861747535))"
"POLYGON ((1198433.434877821 7576684.861747535, 1198433.434877821 7676684.861747535, 1098433.434877821 7676684.861747535, 1098433.434877821 7576684.861747535, 1198433.434877821 7576684.861747535))"
"POLYGON ((1198433.434877821 7676684.861747535, 1198433.434877821 7776684.861747535, 1098433.434877821 7776684.861747535, 1098433.434877821 7676684.861747535, 1198433.434877821 7676684.861747535))"
"POLYGON ((1198433.434877821 7776684.861747535, 1198433.434877821 7876684.861747535, 1098433.434877821 7876684.861747535, 1098433.434877821 7776684.861747535, 1198433.434877821 7776684.861747535))"
"POLYGON ((1298433.434877821 7276684.861747535, 1298433.434877821 7376684.861747535, 1198433.434877821 7376684.861747535, 1198433.434877821 7276684.861747535, 1298433.434877821 7276684.861747535))"
"POLYGON ((1298433.434877821 7376684.861747535, 1298433.434877821 7476684.861747535, 1198433.434877821 7476684.861747535, 1198433.434877821 7376684.861747535, 1298433.434877821 7376684.861747535))"
"POLYGON ((1298433.434877821 7476684.861747535, 1298433.434877821 7576684.861747535, 1198433.434877821 7576684.861747535, 1198433.434877821 7476684.861747535, 1298433.434877821 7476684.861747535))"
"POLYGON ((1398433.434877821 7276684.861747535, 1398433.434877821 7376684.861747535, 1298433.434877821 7376684.861747535, 1298433.434877821 7276684.861747535, 1398433.434877821 7276684.861747535))"
"POLYGON ((1398433.434877821 7376684.861747535, 1398433.434877821 7476684.861747535, 1298433.434877821 7476684.861747535, 1298433.434877821 7376684.861747535, 1398433.434877821 7376684.861747535))"
"POLYGON ((1398433.434877821 7476684.861747535, 1398433.434877821 7576684.861747535, 1298433.434877821 7576684.861747535, 1298433.434877821 7476684.861747535, 1398433.434877821 7476684.861747535))"
"POLYGON ((1498433.434877821 7376684.861747535, 1498433.434877821 7476684.861747535, 1398433.434877821 7476684.861747535, 1398433.434877821 7376684.861747535, 1498433.434877821 7376684.861747535))"
"POLYGON ((1498433.434877821 7476684.861747535, 1498433.434877821 7576684.861747535, 1398433.434877821 7576684.861747535, 1398433.434877821 7476684.861747535, 1498433.434877821 7476684.861747535))"
