geometry,soiltype
"POLYGON ((923433.4348778214 7571684.861747535, 923433.4348778214 7576684.861747535, 918433.4348778214 7576684.861747535, 918433.4348778214 7571684.861747535, 923433.4348778214 7571684.861747535))",DSG
"POLYGON ((923433.4348778214 7576684.861747535, 923433.4348778214 7581684.861747535, 918433.4348778214 7581684.861747535, 918433.4348778214 7576684.861747535, 923433.4348778214 7576684.861747535))",MSG
"POLYGON ((923433.4348778214 7581684.861747535, 923433.4348778214 7586684.861747535, 918433.4348778214 7586684.861747535, 918433.4348778214 7581684.861747535, 923433.4348778214 7581684.861747535))",ES
"POLYGON ((923433.4348778214 7586684.861747535, 923433.4348778214 7591684.861747535, 918433.4348778214 7591684.861747535, 918433.4348778214 7586684.861747535, 923433.4348778214 7586684.861747535))",DSG
"POLYGON ((923433.4348778214 7591684.861747535, 923433.4348778214 7596684.861747535, 918433.4348778214 7596684.861747535, 918433.4348778214 7591684.861747535, 923433.4348778214 7591684.861747535))",F
"POLYGON ((923433.4348778214 7596684.861747535, 923433.4348778214 7601684.861747535, 918433.4348778214 7601684.861747535, 918433.4348778214 7596684.861747535, 923433.4348778214 7596684.861747535))",F
"POLYGON ((923433.4348778214 7601684.861747535, 923433.4348778214 7606684.861747535, 918433.4348778214 7606684.861747535, 918433.4348778214 7601684.861747535, 923433.4348778214 7601684.861747535))",T
"POLYGON ((923433.4348778214 7606684.861747535, 923433.4348778214 7611684.861747535, 918433.4348778214 7611684.861747535, 918433.4348778214 7606684.861747535, 923433.4348778214 7606684.861747535))",T
"POLYGON ((923433.4348778214 7611684.861747535, 923433.4348778214 7616684.861747535, 918433.4348778214 7616684.861747535, 918433.4348778214 7611684.861747535, 923433.4348778214 7611684.861747535))",DSG
"POLYGON ((923433.4348778214 7616684.861747535, 923433.4348778214 7621684.861747535, 918433.4348778214 7621684.861747535, 918433.4348778214 7616684.861747535, 923433.4348778214 7616684.861747535))",HV
"POLYGON ((923433.4348778214 7621684.861747535, 923433.4348778214 7626684.861747535, 918433.4348778214 7626684.861747535, 918433.4348778214 7621684.861747535, 923433.4348778214 7621684.861747535))",HV
"POLYGON ((923433.4348778214 7626684.861747535, 923433.4348778214 7631684.861747535, 918433.4348778214 7631684.861747535, 918433.4348778214 7626684.861747535, 923433.4348778214 7626684.861747535))",T
"POLYGON ((923433.4348778214 7631684.861747535, 923433.4348778214 7636684.861747535, 918433.4348778214 7636684.861747535, 918433.4348778214 7631684.861747535, 923433.4348778214 7631684.861747535))",T
"POLYGON ((923433.4348778214 7636684.861747535, 923433.4348778214 7641684.861747535, 918433.4348778214 7641684.861747535, 918433.4348778214 7636684.861747535, 923433.4348778214 7636684.861747535))",T
"POLYGON ((923433.4348778214 7641684.861747535, 923433.4348778214 7646684.861747535, 918433.4348778214 7646684.861747535, 918433.4348778214 7641684.861747535, 923433.4348778214 7641684.861747535))",T
"POLYGON ((923433.4348778214 7646684.861747535, 923433.4348778214 7651684.861747535, 918433.4348778214 7651684.861747535, 918433.4348778214 7646684.861747535, 923433.4348778214 7646684.861747535))",F
"POLYGON ((923433.4348778214 7651684.861747535, 923433.4348778214 7656684.861747535, 918433.4348778214 7656684.861747535, 918433.4348778214 7651684.861747535, 923433.4348778214 7651684.861747535))",F
"POLYGON ((923433.4348778214 7656684.861747535, 923433.4348778214 7661684.861747535, 918433.4348778214 7661684.861747535, 918433.4348778214 7656684.861747535, 923433.4348778214 7656684.861747535))",T
"POLYGON ((923433.4348778214 7661684.861747535, 923433.4348778214 7666684.861747535, 918433.4348778214 7666684.861747535, 918433.4348778214 7661684.861747535, 923433.4348778214 7661684.861747535))",ML
"POLYGON ((923433.4348778214 7666684.861747535, 923433.4348778214 7671684.861747535, 918433.4348778214 7671684.861747535, 918433.4348778214 7666684.861747535, 923433.4348778214 7666684.861747535))",ML
"POLYGON ((923433.4348778214 7671684.861747535, 923433.4348778214 7676684.861747535, 918433.4348778214 7676684.861747535, 918433.4348778214 7671684.861747535, 923433.4348778214 7671684.861747535))",DSG
"POLYGON ((923433.4348778214 7676684.861747535, 923433.4348778214 7681684.861747535, 918433.4348778214 7681684.861747535, 918433.4348778214 7676684.861747535, 923433.4348778214 7676684.861747535))",HSL
"POLYGON ((923433.4348778214 7696684.861747535, 923433.4348778214 7701684.861747535, 918433.4348778214 7701684.861747535, 918433.4348778214 7696684.861747535, 923433.4348778214 7696684.861747535))",HSL
"POLYGON ((923433.4348778214 7701684.861747535, 923433.4348778214 7706684.861747535, 918433.4348778214 7706684.861747535, 918433.4348778214 7701684.861747535, 923433.4348778214 7701684.861747535))",HSL
"POLYGON ((923433.4348778214 7706684.861747535, 923433.4348778214 7711684.861747535, 918433.4348778214 7711684.861747535, 918433.4348778214 7706684.861747535, 923433.4348778214 7706684.861747535))",SØ
"POLYGON ((923433.4348778214 7711684.861747535, 923433.4348778214 7716684.861747535, 918433.4348778214 7716684.861747535, 918433.4348778214 7711684.861747535, 923433.4348778214 7711684.861747535))",HSL
"POLYGON ((923433.4348778214 7716684.861747535, 923433.4348778214 7721684.861747535, 918433.4348778214 7721684.861747535, 918433.4348778214 7716684.861747535, 923433.4348778214 7716684.861747535))",SØ
"POLYGON ((923433.4348778214 7721684.861747535, 923433.4348778214 7726684.861747535, 918433.4348778214 7726684.861747535, 918433.4348778214 7721684.861747535, 923433.4348778214 7721684.861747535))",ML
"POLYGON ((923433.4348778214 7726684.861747535, 923433.4348778214 7731684.861747535, 918433.4348778214 7731684.861747535, 918433.4348778214 7726684.861747535, 923433.4348778214 7726684.861747535))",ES
"POLYGON ((923433.4348778214 7731684.861747535, 923433.4348778214 7736684.861747535, 918433.4348778214 7736684.861747535, 918433.4348778214 7731684.861747535, 923433.4348778214 7731684.861747535))",ES
"POLYGON ((923433.4348778214 7736684.861747535, 923433.4348778214 7741684.861747535, 918433.4348778214 7741684.861747535, 918433.4348778214 7736684.861747535, 923433.4348778214 7736684.861747535))",HSL
"POLYGON ((928433.4348778214 7451684.861747535, 928433.4348778214 7456684.861747535, 923433.4348778214 7456684.861747535, 923433.4348778214 7451684.861747535, 928433.4348778214 7451684.861747535))",ES
"POLYGON ((928433.4348778214 7456684.861747535, 928433.4348778214 7461684.861747535, 923433.4348778214 7461684.861747535, 923433.4348778214 7456684.861747535, 928433.4348778214 7456684.861747535))",ES
"POLYGON ((928433.4348778214 7466684.861747535, 928433.4348778214 7471684.861747535, 923433.4348778214 7471684.861747535, 923433.4348778214 7466684.861747535, 928433.4348778214 7466684.861747535))",DSG
"POLYGON ((928433.4348778214 7471684.861747535, 928433.4348778214 7476684.861747535, 923433.4348778214 7476684.861747535, 923433.4348778214 7471684.861747535, 928433.4348778214 7471684.861747535))",DSG
"POLYGON ((928433.4348778214 7476684.861747535, 928433.4348778214 7481684.861747535, 923433.4348778214 7481684.861747535, 923433.4348778214 7476684.861747535, 928433.4348778214 7476684.861747535))",DSG
"POLYGON ((928433.4348778214 7481684.861747535, 928433.4348778214 7486684.861747535, 923433.4348778214 7486684.861747535, 923433.4348778214 7481684.861747535, 928433.4348778214 7481684.861747535))",ML
"POLYGON ((928433.4348778214 7486684.861747535, 928433.4348778214 7491684.861747535, 923433.4348778214 7491684.861747535, 923433.4348778214 7486684.861747535, 928433.4348778214 7486684.861747535))",ML
"POLYGON ((928433.4348778214 7491684.861747535, 928433.4348778214 7496684.861747535, 923433.4348778214 7496684.861747535, 923433.4348778214 7491684.861747535, 928433.4348778214 7491684.861747535))",DSG
"POLYGON ((928433.4348778214 7496684.861747535, 928433.4348778214 7501684.861747535, 923433.4348778214 7501684.861747535, 923433.4348778214 7496684.861747535, 928433.4348778214 7496684.861747535))",DSG
"POLYGON ((928433.4348778214 7501684.861747535, 928433.4348778214 7506684.861747535, 923433.4348778214 7506684.861747535, 923433.4348778214 7501684.861747535, 928433.4348778214 7501684.861747535))",ML
"POLYGON ((928433.4348778214 7506684.861747535, 928433.4348778214 7511684.861747535, 923433.4348778214 7511684.861747535, 923433.4348778214 7506684.861747535, 928433.4348778214 7506684.861747535))",DSG
"POLYGON ((928433.4348778214 7511684.861747535, 928433.4348778214 7516684.861747535, 923433.4348778214 7516684.861747535, 923433.4348778214 7511684.861747535, 928433.4348778214 7511684.861747535))",ML
"POLYGON ((928433.4348778214 7516684.861747535, 928433.4348778214 7521684.861747535, 923433.4348778214 7521684.861747535, 923433.4348778214 7516684.861747535, 928433.4348778214 7516684.861747535))",ES
"POLYGON ((928433.4348778214 7521684.861747535, 928433.4348778214 7526684.861747535, 923433.4348778214 7526684.861747535, 923433.4348778214 7521684.861747535, 928433.4348778214 7521684.861747535))",MSG
"POLYGON ((928433.4348778214 7526684.861747535, 928433.4348778214 7531684.861747535, 923433.4348778214 7531684.861747535, 923433.4348778214 7526684.861747535, 928433.4348778214 7526684.861747535))",MSG
"POLYGON ((928433.4348778214 7531684.861747535, 928433.4348778214 7536684.861747535, 923433.4348778214 7536684.861747535, 923433.4348778214 7531684.861747535, 928433.4348778214 7531684.861747535))",ES
"POLYGON ((928433.4348778214 7556684.861747535, 928433.4348778214 7561684.861747535, 923433.4348778214 7561684.861747535, 923433.4348778214 7556684.861747535, 928433.4348778214 7556684.861747535))",ES
"POLYGON ((928433.4348778214 7561684.861747535, 928433.4348778214 7566684.861747535, 923433.4348778214 7566684.861747535, 923433.4348778214 7561684.861747535, 928433.4348778214 7561684.861747535))",F
"POLYGON ((928433.4348778214 7566684.861747535, 928433.4348778214 7571684.861747535, 923433.4348778214 7571684.861747535, 923433.4348778214 7566684.861747535, 928433.4348778214 7566684.861747535))",MSG
"POLYGON ((928433.4348778214 7571684.861747535, 928433.4348778214 7576684.861747535, 923433.4348778214 7576684.861747535, 923433.4348778214 7571684.861747535, 928433.4348778214 7571684.861747535))",DSG
"POLYGON ((928433.4348778214 7576684.861747535, 928433.4348778214 7581684.861747535, 923433.4348778214 7581684.861747535, 923433.4348778214 7576684.861747535, 928433.4348778214 7576684.861747535))",ML
"POLYGON ((928433.4348778214 7581684.861747535, 928433.4348778214 7586684.861747535, 923433.4348778214 7586684.861747535, 923433.4348778214 7581684.861747535, 928433.4348778214 7581684.861747535))",MSG
"POLYGON ((928433.4348778214 7586684.861747535, 928433.4348778214 7591684.861747535, 923433.4348778214 7591684.861747535, 923433.4348778214 7586684.861747535, 928433.4348778214 7586684.861747535))",F
"POLYGON ((928433.4348778214 7591684.861747535, 928433.4348778214 7596684.861747535, 923433.4348778214 7596684.861747535, 923433.4348778214 7591684.861747535, 928433.4348778214 7591684.861747535))",T
"POLYGON ((928433.4348778214 7596684.861747535, 928433.4348778214 7601684.861747535, 923433.4348778214 7601684.861747535, 923433.4348778214 7596684.861747535, 928433.4348778214 7596684.861747535))",F
"POLYGON ((928433.4348778214 7601684.861747535, 928433.4348778214 7606684.861747535, 923433.4348778214 7606684.861747535, 923433.4348778214 7601684.861747535, 928433.4348778214 7601684.861747535))",DSG
"POLYGON ((928433.4348778214 7606684.861747535, 928433.4348778214 7611684.861747535, 923433.4348778214 7611684.861747535, 923433.4348778214 7606684.861747535, 928433.4348778214 7606684.861747535))",ES
"POLYGON ((928433.4348778214 7611684.861747535, 928433.4348778214 7616684.861747535, 923433.4348778214 7616684.861747535, 923433.4348778214 7611684.861747535, 928433.4348778214 7611684.861747535))",DSG
"POLYGON ((928433.4348778214 7616684.861747535, 928433.4348778214 7621684.861747535, 923433.4348778214 7621684.861747535, 923433.4348778214 7616684.861747535, 928433.4348778214 7616684.861747535))",DSG
"POLYGON ((928433.4348778214 7621684.861747535, 928433.4348778214 7626684.861747535, 923433.4348778214 7626684.861747535, 923433.4348778214 7621684.861747535, 928433.4348778214 7621684.861747535))",F
"POLYGON ((928433.4348778214 7626684.861747535, 928433.4348778214 7631684.861747535, 923433.4348778214 7631684.861747535, 923433.4348778214 7626684.861747535, 928433.4348778214 7626684.861747535))",T
"POLYGON ((928433.4348778214 7631684.861747535, 928433.4348778214 7636684.861747535, 923433.4348778214 7636684.861747535, 923433.4348778214 7631684.861747535, 928433.4348778214 7631684.861747535))",T
"POLYGON ((928433.4348778214 7636684.861747535, 928433.4348778214 7641684.861747535, 923433.4348778214 7641684.861747535, 923433.4348778214 7636684.861747535, 928433.4348778214 7636684.861747535))",T
"POLYGON ((928433.4348778214 7641684.861747535, 928433.4348778214 7646684.861747535, 923433.4348778214 7646684.861747535, 923433.4348778214 7641684.861747535, 928433.4348778214 7641684.861747535))",T
"POLYGON ((928433.4348778214 7646684.861747535, 928433.4348778214 7651684.861747535, 923433.4348778214 7651684.861747535, 923433.4348778214 7646684.861747535, 928433.4348778214 7646684.861747535))",F
"POLYGON ((928433.4348778214 7651684.861747535, 928433.4348778214 7656684.861747535, 923433.4348778214 7656684.861747535, 923433.4348778214 7651684.861747535, 928433.4348778214 7651684.861747535))",T
"POLYGON ((928433.4348778214 7656684.861747535, 928433.4348778214 7661684.861747535, 923433.4348778214 7661684.861747535, 923433.4348778214 7656684.861747535, 928433.4348778214 7656684.861747535))",T
"POLYGON ((928433.4348778214 7661684.861747535, 928433.4348778214 7666684.861747535, 923433.4348778214 7666684.861747535, 923433.4348778214 7661684.861747535, 928433.4348778214 7661684.861747535))",ML
"POLYGON ((928433.4348778214 7666684.861747535, 928433.4348778214 7671684.861747535, 923433.4348778214 7671684.861747535, 923433.4348778214 7666684.861747535, 928433.4348778214 7666684.861747535))",ML
"POLYGON ((928433.4348778214 7671684.861747535, 928433.4348778214 7676684.861747535, 923433.4348778214 7676684.861747535, 923433.4348778214 7671684.861747535, 928433.4348778214 7671684.861747535))",F
"POLYGON ((928433.4348778214 7676684.861747535, 928433.4348778214 7681684.861747535, 923433.4348778214 7681684.861747535, 923433.4348778214 7676684.861747535, 928433.4348778214 7676684.861747535))",HSL
"POLYGON ((928433.4348778214 7701684.861747535, 928433.4348778214 7706684.861747535, 923433.4348778214 7706684.861747535, 923433.4348778214 7701684.861747535, 928433.4348778214 7701684.861747535))",ML
"POLYGON ((928433.4348778214 7706684.861747535, 928433.4348778214 7711684.861747535, 923433.4348778214 7711684.861747535, 923433.4348778214 7706684.861747535, 928433.4348778214 7706684.861747535))",ML
"POLYGON ((928433.4348778214 7711684.861747535, 928433.4348778214 7716684.861747535, 923433.4348778214 7716684.861747535, 923433.4348778214 7711684.861747535, 928433.4348778214 7711684.861747535))",ML
"POLYGON ((928433.4348778214 7716684.861747535, 928433.4348778214 7721684.861747535, 923433.4348778214 7721684.861747535, 923433.4348778214 7716684.861747535, 928433.4348778214 7716684.861747535))",SØ
"POLYGON ((928433.4348778214 7721684.861747535, 928433.4348778214 7726684.861747535, 923433.4348778214 7726684.861747535, 923433.4348778214 7721684.861747535, 928433.4348778214 7721684.861747535))",F
"POLYGON ((928433.4348778214 7726684.861747535, 928433.4348778214 7731684.861747535, 923433.4348778214 7731684.861747535, 923433.4348778214 7726684.861747535, 928433.4348778214 7726684.861747535))",ES
"POLYGON ((928433.4348778214 7731684.861747535, 928433.4348778214 7736684.861747535, 923433.4348778214 7736684.861747535, 923433.4348778214 7731684.861747535, 928433.4348778214 7731684.861747535))",ES
